Row ID;Order Date;Ship Date;Country;State;Product ID;Category;Product Name;Sales;Quantity;Discount;Profit
47;20/10/2014;25/10/2014;United States;Michigan;OFF-ST-10001713;Office Supplies;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211,96;4;0;8,4784
48;20/6/2016;25/6/2016;United States;Delaware;TEC-AC-10002167;Technology;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45;3;0;4,95
49;20/6/2016;25/6/2016;United States;Delaware;TEC-PH-10003988;Technology;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21,8;2;0;6,104
50;18/4/2015;22/4/2015;United States;Indiana;OFF-BI-10004410;Office Supplies;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38,22;6;0;17,9634
51;18/4/2015;22/4/2015;United States;Indiana;OFF-LA-10002762;Office Supplies;Avery 485;75,18;6;0;35,3346
52;18/4/2015;22/4/2015;United States;Indiana;FUR-FU-10001706;Furniture;Longer-Life Soft White Bulbs;6,16;2;0;2,9568
53;18/4/2015;22/4/2015;United States;Indiana;FUR-CH-10003061;Furniture;Global Leather Task Chair, Black;89,99;1;0;17,0981
54;11/12/2016;17/12/2016;United States;New York;OFF-FA-10000304;Office Supplies;Advantus Push Pins;15,26;7;0;6,2566
55;11/12/2016;17/12/2016;United States;New York;TEC-PH-10002447;Technology;AT&T CL83451 4-Handset Telephone;1029,95;5;0;298,6855
56;17/6/2016;18/6/2016;United States;New York;OFF-ST-10000604;Office Supplies;Home/Office Personal File Carts;208,56;6;0;52,14
57;17/6/2016;18/6/2016;United States;New York;OFF-PA-10001569;Office Supplies;Xerox 232;32,4;5;0;15,552
58;17/6/2016;18/6/2016;United States;New York;FUR-CH-10003968;Furniture;Novimex Turbo Task Chair;319,41;5;0,1;7,098
59;17/6/2016;18/6/2016;United States;New York;OFF-PA-10000587;Office Supplies;Array Parchment Paper, Assorted Colors;14,56;2;0;6,9888
60;17/6/2016;18/6/2016;United States;New York;TEC-AC-10002167;Technology;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30;2;0;3,3
61;17/6/2016;18/6/2016;United States;New York;OFF-BI-10001460;Office Supplies;Plastic Binding Combs;48,48;4;0,2;16,362
62;17/6/2016;18/6/2016;United States;New York;OFF-AR-10001868;Office Supplies;Prang Dustless Chalk Sticks;1,68;1;0;0,84
63;24/11/2015;30/11/2015;United States;California;TEC-AC-10004633;Technology;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13,98;2;0;6,1512
64;24/11/2015;30/11/2015;United States;California;OFF-BI-10001078;Office Supplies;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25,824;6;0,2;9,3612
65;24/11/2015;30/11/2015;United States;California;OFF-PA-10003892;Office Supplies;Xerox 1943;146,73;3;0;68,9631
66;24/11/2015;30/11/2015;United States;California;FUR-FU-10000397;Furniture;Luxo Economy Swing Arm Lamp;79,76;4;0;22,3328
67;30/4/2015;5/5/2015;United States;Illinois;FUR-CH-10001146;Furniture;Global Value Mid-Back Manager's Chair, Gray;213,115;5;0,3;-15,2225
68;5/12/2014;10/12/2014;United States;Arizona;OFF-AR-10002671;Office Supplies;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1113,024;8;0,2;111,3024
69;5/12/2014;10/12/2014;United States;Arizona;TEC-PH-10002726;Technology;netTALK DUO VoIP Telephone Service;167,968;4;0,2;62,988
70;4/6/2016;6/6/2016;United States;Virginia;OFF-PA-10000482;Office Supplies;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75,88;2;0;35,6636
71;18/9/2016;23/9/2016;United States;New York;OFF-BI-10004654;Office Supplies;Avery Binding System Hidden Tab Executive Style Index Sets;4,616;1;0,2;1,731
72;14/9/2017;17/9/2017;United States;Michigan;OFF-PA-10004675;Office Supplies;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";19,05;3;0;8,763
73;26/4/2015;2/5/2015;United States;Tennessee;FUR-CH-10000513;Furniture;High-Back Leather Manager's Chair;831,936;8;0,2;-114,3912
74;26/4/2015;2/5/2015;United States;Tennessee;FUR-FU-10003708;Furniture;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97,04;2;0,2;1,213
75;26/4/2015;2/5/2015;United States;Tennessee;OFF-ST-10004123;Office Supplies;Safco Industrial Wire Shelving System;72,784;1;0,2;-18,196
76;9/12/2017;11/12/2017;United States;Texas;OFF-BI-10004182;Office Supplies;Economy Binders;1,248;3;0,8;-1,9344
77;9/12/2017;11/12/2017;United States;Texas;FUR-FU-10000260;Furniture;"6"" Cubicle Wall Clock, Black";9,708;3;0,6;-5,8248
78;9/12/2017;11/12/2017;United States;Texas;OFF-ST-10000615;Office Supplies;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27,24;3;0,2;2,724
79;26/11/2014;1/12/2014;United States;Texas;FUR-FU-10003194;Furniture;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19,3;5;0,6;-14,475
80;12/6/2016;15/6/2016;United States;Alabama;OFF-AP-10002118;Office Supplies;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208,16;1;0;56,2032
81;12/6/2016;15/6/2016;United States;Alabama;OFF-BI-10002309;Office Supplies;Avery Heavy-Duty EZD  Binder With Locking Rings;16,74;3;0;8,0352
82;12/10/2014;16/10/2014;United States;California;OFF-AR-10002053;Office Supplies;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14,9;5;0;4,172
83;12/10/2014;16/10/2014;United States;California;OFF-ST-10002370;Office Supplies;Sortfiler Multipurpose Personal File Organizer, Black;21,39;1;0;6,2031
84;3/9/2015;8/9/2015;United States;North Carolina;OFF-EN-10000927;Office Supplies;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200,984;7;0,2;62,8075
85;13/11/2017;16/11/2017;United States;Illinois;OFF-ST-10003656;Office Supplies;Safco Industrial Wire Shelving;230,376;3;0,2;-48,9549
86;28/5/2017;30/5/2017;United States;South Carolina;FUR-CH-10000863;Furniture;Novimex Swivel Fabric Task Chair;301,96;2;0;33,2156
87;26/10/2017;2/11/2017;United States;Minnesota;TEC-AC-10001998;Technology;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19,99;1;0;6,7966
88;26/10/2017;2/11/2017;United States;Minnesota;OFF-LA-10000134;Office Supplies;Avery 511;6,16;2;0;2,9568
89;5/4/2016;10/4/2016;United States;Texas;OFF-ST-10003442;Office Supplies;Eldon Portable Mobile Manager;158,368;7;0,2;13,8572
90;17/9/2016;22/9/2016;United States;California;OFF-AR-10004930;Office Supplies;Turquoise Lead Holder with Pocket Clip;20,1;3;0;6,633
91;17/9/2016;22/9/2016;United States;California;TEC-PH-10004093;Technology;Panasonic Kx-TS550;73,584;2;0,2;8,2782
92;17/9/2016;22/9/2016;United States;California;OFF-PA-10000304;Office Supplies;Xerox 1995;6,48;1;0;3,1104
93;31/1/2015;5/2/2015;United States;Minnesota;OFF-PA-10003177;Office Supplies;Xerox 1999;12,96;2;0;6,2208
94;31/1/2015;5/2/2015;United States;Minnesota;FUR-FU-10003799;Furniture;"Seth Thomas 13 1/2"" Wall Clock";53,34;3;0;16,5354
95;31/1/2015;5/2/2015;United States;Minnesota;OFF-BI-10002852;Office Supplies;Ibico Standard Transparent Covers;32,96;2;0;16,1504
96;6/11/2017;12/11/2017;United States;Oregon;OFF-BI-10004738;Office Supplies;Flexible Leather- Look Classic Collection Ring Binder;5,682;1;0,7;-3,788
97;9/11/2017;11/11/2017;United States;New York;FUR-FU-10000629;Furniture;9-3/4 Diameter Round Wall Clock;96,53;7;0;40,5426
98;17/6/2017;20/6/2017;United States;California;OFF-BI-10001721;Office Supplies;Trimflex Flexible Post Binders;51,312;3;0,2;17,9592
99;6/9/2016;11/9/2016;United States;Minnesota;OFF-AP-10000358;Office Supplies;Fellowes Basic Home/Office Series Surge Protectors;77,88;6;0;22,5852
100;29/8/2016;2/9/2016;United States;Illinois;OFF-PA-10003256;Office Supplies;Avery Personal Creations Heavyweight Cards;64,624;7;0,2;22,6184
101;29/8/2016;2/9/2016;United States;Illinois;TEC-AC-10001767;Technology;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95,976;3;0,2;-10,7973
102;29/8/2016;2/9/2016;United States;Illinois;OFF-BI-10002609;Office Supplies;Avery Hidden Tab Dividers for Binding Systems;1,788;3;0,8;-3,0396
103;1/12/2016;4/12/2016;United States;Minnesota;OFF-PA-10004040;Office Supplies;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);23,92;4;0;11,7208
104;13/11/2015;17/11/2015;United States;Colorado;TEC-AC-10001552;Technology;Logitech K350 2.4Ghz Wireless Keyboard;238,896;6;0,2;-26,8758
105;13/11/2015;17/11/2015;United States;Colorado;FUR-FU-10004006;Furniture;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102,36;3;0,2;-3,8385
106;13/11/2015;17/11/2015;United States;Colorado;OFF-BI-10002794;Office Supplies;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";36,882;3;0,7;-25,8174
107;23/11/2017;28/11/2017;United States;North Carolina;TEC-AC-10003499;Technology;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;74,112;8;0,2;17,6016
108;23/11/2017;28/11/2017;United States;North Carolina;TEC-PH-10002844;Technology;Speck Products Candyshell Flip Case;27,992;1;0,2;2,0994
109;23/11/2017;28/11/2017;United States;North Carolina;OFF-AR-10000390;Office Supplies;Newell Chalk Holder;3,304;1;0,2;1,0738
110;15/10/2015;20/10/2015;United States;Illinois;TEC-AC-10000844;Technology;Logitech Gaming G510s - Keyboard;339,96;5;0,2;67,992
111;25/12/2017;30/12/2017;United States;New York;FUR-FU-10001934;Furniture;Magnifier Swing Arm Lamp;41,96;2;0;10,9096
112;3/11/2016;10/11/2016;United States;Iowa;OFF-AR-10000380;Office Supplies;Hunt PowerHouse Electric Pencil Sharpener, Blue;75,96;2;0;22,788
113;3/11/2016;10/11/2016;United States;Iowa;OFF-BI-10003981;Office Supplies;"Avery Durable Plastic 1"" Binders";27,24;6;0;13,3476
114;25/8/2014;27/8/2014;United States;Ohio;OFF-FA-10000621;Office Supplies;OIC Colored Binder Clips, Assorted Sizes;40,096;14;0,2;14,5348
115;25/8/2014;27/8/2014;United States;Ohio;OFF-EN-10002600;Office Supplies;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;4,72;2;0,2;1,652
116;25/8/2014;27/8/2014;United States;Ohio;OFF-PA-10004965;Office Supplies;Xerox 1921;23,976;3;0,2;7,4925
117;25/8/2014;27/8/2014;United States;Ohio;OFF-EN-10002504;Office Supplies;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;130,464;6;0,2;44,0316
118;2/3/2015;6/3/2015;United States;Washington;FUR-TA-10001768;Furniture;Hon Racetrack Conference Tables;787,53;3;0;165,3813
119;5/4/2015;10/4/2015;United States;Tennessee;OFF-BI-10003650;Office Supplies;GBC DocuBind 300 Electric Binding Machine;157,794;1;0,7;-115,7156
120;12/6/2016;15/6/2016;United States;Delaware;FUR-FU-10002157;Furniture;Artistic Insta-Plaque;47,04;3;0;18,3456
121;12/6/2016;15/6/2016;United States;Delaware;OFF-BI-10003910;Office Supplies;DXL Angle-View Binders with Locking Rings by Samsill;30,84;4;0;13,878
122;12/6/2016;15/6/2016;United States;Delaware;OFF-ST-10000777;Office Supplies;Companion Letter/Legal File, Black;226,56;6;0;63,4368
123;12/6/2016;15/6/2016;United States;Delaware;OFF-EN-10002500;Office Supplies;Globe Weis Peel & Seel First Class Envelopes;115,02;9;0;51,759
124;12/6/2016;15/6/2016;United States;Delaware;TEC-PH-10003875;Technology;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;68,04;7;0;19,7316
125;26/12/2014;28/12/2014;United States;Texas;FUR-CH-10004063;Furniture;Global Deluxe High-Back Manager's Chair;600,558;3;0,3;-8,5794
126;20/9/2014;25/9/2014;United States;Illinois;FUR-TA-10004534;Furniture;Bevis 44 x 96 Conference Tables;617,7;6;0,5;-407,682
127;5/11/2017;12/11/2017;United States;Arizona;OFF-BI-10003274;Office Supplies;Avery Durable Slant Ring Binders, No Labels;2,388;2;0,7;-1,8308
128;5/11/2017;12/11/2017;United States;Arizona;OFF-ST-10002974;Office Supplies;Trav-L-File Heavy-Duty Shuttle II, Black;243,992;7;0,2;30,499
129;6/11/2016;10/11/2016;United States;California;FUR-CH-10001146;Furniture;Global Task Chair, Black;81,424;2;0,2;-9,1602
130;6/11/2016;10/11/2016;United States;California;FUR-FU-10003773;Furniture;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;238,56;3;0;26,2416
131;2/2/2017;5/2/2017;United States;Ohio;TEC-PH-10002293;Technology;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;59,97;5;0,4;-11,994
132;2/2/2017;5/2/2017;United States;Ohio;OFF-PA-10002377;Office Supplies;Xerox 1916;78,304;2;0,2;29,364
133;2/2/2017;5/2/2017;United States;Ohio;OFF-FA-10002780;Office Supplies;Staples;21,456;9;0,2;6,9732
134;13/10/2016;19/10/2016;United States;California;OFF-PA-10001804;Office Supplies;Xerox 195;20,04;3;0;9,6192
135;13/10/2016;19/10/2016;United States;California;OFF-PA-10001736;Office Supplies;Xerox 1880;35,44;1;0;16,6568
136;13/10/2016;19/10/2016;United States;California;OFF-AR-10001149;Office Supplies;Sanford Colorific Colored Pencils, 12/Box;11,52;4;0;3,456
137;13/10/2016;19/10/2016;United States;California;OFF-FA-10002988;Office Supplies;Ideal Clamps;4,02;2;0;1,9698
138;13/10/2016;19/10/2016;United States;California;OFF-BI-10004781;Office Supplies;GBC Wire Binding Strips;76,176;3;0,2;26,6616
139;13/10/2016;19/10/2016;United States;California;OFF-SU-10001218;Office Supplies;Fiskars Softgrip Scissors;65,88;6;0;18,4464
140;13/10/2016;19/10/2016;United States;California;FUR-FU-10001706;Furniture;Longer-Life Soft White Bulbs;43,12;14;0;20,6976
141;5/9/2016;7/9/2016;United States;Pennsylvania;FUR-FU-10004848;Furniture;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";82,8;2;0,2;10,35
142;18/9/2017;23/9/2017;United States;California;OFF-AR-10000940;Office Supplies;Newell 343;8,82;3;0;2,3814
143;18/9/2017;23/9/2017;United States;California;OFF-EN-10004030;Office Supplies;Convenience Packs of Business Envelopes;10,86;3;0;5,1042
144;18/9/2017;23/9/2017;United States;California;OFF-PA-10004327;Office Supplies;Xerox 1911;143,7;3;0;68,976
145;22/12/2017;27/12/2017;United States;Missouri;OFF-AP-10001058;Office Supplies;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;839,43;3;0;218,2518
146;7/9/2015;12/9/2015;United States;California;OFF-ST-10003656;Office Supplies;Safco Industrial Wire Shelving;671,93;7;0;20,1579
147;22/10/2014;28/10/2014;United States;Ohio;FUR-FU-10000521;Furniture;"Seth Thomas 14"" Putty-Colored Wall Clock";93,888;4;0,2;12,9096
148;5/12/2016;9/12/2016;United States;Wisconsin;TEC-PH-10000215;Technology;Plantronics Cordless Phone Headset with In-line Volume - M214C;384,45;11;0;103,8015
149;5/12/2016;9/12/2016;United States;Wisconsin;TEC-PH-10001448;Technology;Anker Astro 15000mAh USB Portable Charger;149,97;3;0;5,9988
150;5/12/2016;9/12/2016;United States;Wisconsin;FUR-CH-10000454;Furniture;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;1951,84;8;0;585,552
151;5/12/2016;9/12/2016;United States;Wisconsin;OFF-BI-10002735;Office Supplies;GBC Prestige Therm-A-Bind Covers;171,55;5;0;80,6285
152;13/3/2016;16/3/2016;United States;Arizona;OFF-AP-10000326;Office Supplies;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;157,92;5;0,2;17,766
153;13/3/2016;16/3/2016;United States;Arizona;TEC-PH-10001254;Technology;Jabra BIZ 2300 Duo QD Duo Corded Headset;203,184;2;0,2;15,2388
154;31/5/2015;2/6/2015;United States;California;OFF-PA-10001950;Office Supplies;Southworth 25% Cotton Antique Laid Paper & Envelopes;58,38;7;0;26,271
155;31/5/2015;2/6/2015;United States;California;OFF-PA-10002254;Office Supplies;Xerox 1883;105,52;4;0;48,5392
156;31/5/2015;2/6/2015;United States;California;OFF-ST-10001590;Office Supplies;Tenex Personal Project File with Scoop Front Design, Black;80,88;6;0;21,0288
157;28/5/2015;3/6/2015;United States;Washington;OFF-AR-10001547;Office Supplies;Newell 311;6,63;3;0;1,7901
158;1/3/2014;6/3/2014;United States;Washington;FUR-CH-10004063;Furniture;Global Deluxe High-Back Manager's Chair;457,568;2;0,2;51,4764
159;20/11/2016;24/11/2016;United States;Oklahoma;OFF-LA-10002475;Office Supplies;Avery 519;14,62;2;0;6,8714
160;20/11/2016;24/11/2016;United States;Oklahoma;TEC-PH-10004536;Technology;Avaya 5420 Digital phone;944,93;7;0;236,2325
161;11/5/2016;12/5/2016;United States;California;OFF-PA-10002751;Office Supplies;Xerox 1920;5,98;1;0;2,691
162;28/12/2015;31/12/2015;United States;Pennsylvania;TEC-AC-10003657;Technology;Lenovo 17-Key USB Numeric Keypad;54,384;2;0,2;1,3596
163;16/11/2016;20/11/2016;United States;New Mexico;OFF-EN-10001990;Office Supplies;Staple envelope;28,4;5;0;13,348
164;7/11/2016;11/11/2016;United States;Washington;OFF-BI-10004002;Office Supplies;Wilson Jones International Size A4 Ring Binders;27,68;2;0,2;9,688
165;8/9/2014;12/9/2014;United States;Texas;OFF-AR-10004441;Office Supplies;BIC Brite Liner Highlighters;9,936;3;0,2;2,7324
166;8/9/2014;12/9/2014;United States;Texas;TEC-MA-10000822;Technology;Lexmark MX611dhe Monochrome Laser Printer;8159,952;8;0,4;-1359,992
167;8/9/2014;12/9/2014;United States;Texas;OFF-ST-10000991;Office Supplies;Space Solutions HD Industrial Steel Shelving.;275,928;3;0,2;-58,6347
168;8/9/2014;12/9/2014;United States;Texas;FUR-CH-10004287;Furniture;SAFCO Arco Folding Chair;1740,06;9;0,3;-24,858
169;8/9/2014;12/9/2014;United States;Texas;OFF-AR-10002656;Office Supplies;Sanford Liquid Accent Highlighters;32,064;6;0,2;6,8136
170;8/9/2014;12/9/2014;United States;Texas;OFF-AP-10002518;Office Supplies;Kensington 7 Outlet MasterPiece Power Center;177,98;5;0,8;-453,849
171;8/9/2014;12/9/2014;United States;Texas;TEC-PH-10003931;Technology;JBL Micro Wireless Portable Bluetooth Speaker;143,976;3;0,2;8,9985
172;5/8/2014;9/8/2014;United States;California;OFF-PA-10000659;Office Supplies;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;20,94;3;0;9,8418
173;5/8/2014;9/8/2014;United States;California;OFF-PA-10001144;Office Supplies;Xerox 1913;110,96;2;0;53,2608
174;5/8/2014;9/8/2014;United States;California;FUR-CH-10003817;Furniture;Global Value Steno Chair, Gray;340,144;7;0,2;21,259
175;14/9/2014;19/9/2014;United States;Illinois;OFF-AP-10000891;Office Supplies;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;52,448;2;0,8;-131,12
176;14/9/2014;19/9/2014;United States;Illinois;OFF-LA-10003148;Office Supplies;Avery 51;20,16;4;0,2;6,552
177;21/4/2017;25/4/2017;United States;Texas;OFF-AP-10002684;Office Supplies;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;97,264;4;0,8;-243,16
178;21/11/2015;23/11/2015;United States;Ohio;FUR-CH-10004698;Furniture;Padded Folding Chairs, Black, 4/Carton;396,802;7;0,3;-11,3372
179;21/11/2015;23/11/2015;United States;Ohio;OFF-SU-10002189;Office Supplies;Acme Rosewood Handle Letter Opener;15,88;5;0,2;-3,7715
180;15/12/2015;19/12/2015;United States;New York;OFF-AR-10001940;Office Supplies;Sanford Colorific Eraseable Coloring Pencils, 12 Count;3,28;1;0;1,4104
181;5/12/2014;9/12/2014;United States;Illinois;OFF-ST-10003455;Office Supplies;Tenex File Box, Personal Filing Tote with Lid, Black;24,816;2;0,2;1,8612
182;5/12/2014;9/12/2014;United States;Illinois;TEC-AC-10004659;Technology;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";408,744;7;0,2;76,6395
